category,level,outcome,outcome_level,n
CC389,1,DD13,4475,5
CC389,1,DD13,4234,5
CC389,1,DD13,3986,5
CC389,1,DD13,2800,5
CC389,1,DD13,4408,5
CC389,1,DD13,4356,5
CC389,1,DD13,3135,5
CC389,1,DD13,3025,5
CC389,1,DD13,5245,5
CC389,1,DD13,2710,5
CC389,1,DD13,2835,5
CC389,1,DD13,2864,5
CC389,1,DD13,4065,5
CC389,1,DD13,2358,5
CC389,1,DD13,2790,5
CC389,1,DD13,2880,5
CC389,1,DD13,2204,5
CC389,1,DD13,2217,5
CC389,1,DD13,4151,5
CC389,1,DD13,3288,5
CC389,1,DD13,4052,5
CC389,1,DD13,3386,5
CC389,1,DD13,3865,5
CC389,1,DD13,3744,5
CC389,1,DD13,3628,5
CC389,1,DD13,3665,5
CC389,1,DD13,2275,5
CC389,1,DD13,3462,5
CC389,1,DD13,3838,5
CC389,1,DD13,3465,5
CC389,1,DD13,2635,5
CC389,1,DD13,4625,5
CC389,1,DD13,1370,5
CC389,1,DD13,4460,5
CC389,1,DD13,2820,5
CC389,1,DD13,2530,5
CC389,1,DD13,3254,5
CC389,1,DD13,5070,5
CC389,1,DD13,3776,5
CC389,1,DD13,3605,5
CC389,1,DD13,2050,5
CC389,1,DD13,2510,5
CC389,1,DD13,3492,5
CC389,1,DD13,4780,5
CC389,1,DD13,4545,5
CC389,1,DD13,3058,5
CC389,1,DD13,3786,5
CC389,1,DD13,2137,5
CC389,1,DD13,3046,5
CC389,1,DD13,4535,5
CC389,1,DD13,3635,5
CC389,1,DD13,4034,5
CC389,1,DD13,4770,5
CC389,1,DD13,3136,5
CC389,1,DD13,4878,5
CC389,1,DD13,3358,5
CC389,1,DD13,4012,5
CC389,1,DD13,2705,5
CC389,1,DD13,3106,5
CC389,1,DD13,3095,5
CC389,1,DD13,3374,5
CC389,1,DD13,4156,5
CC389,1,DD13,4016,5
CC389,1,DD13,3985,5
CC389,1,DD13,3456,5
CC389,1,DD13,3426,5
CC389,1,DD13,3804,5
CC389,1,DD13,4144,5
CC389,1,DD13,2610,5
CC389,1,DD13,3194,5
CC389,1,DD13,4844,5
CC389,1,DD13,2759,5
CC389,1,DD13,3148,5
CC389,1,DD13,4398,5
CC389,1,DD13,3844,5
CC389,1,DD13,4208,5
CC389,1,DD13,3578,5
CC389,1,DD13,1699,5
CC389,1,DD13,5050,5
CC389,1,DD13,3834,5
CC389,1,DD13,4425,5
CC389,1,DD13,3424,5
CC389,1,DD13,3396,5
CC389,1,DD13,3795,5
CC389,1,DD13,3922,5
CC389,1,DD13,3012,5
CC389,1,DD13,3816,5
CC389,1,DD13,3255,5
CC389,1,DD13,3226,5
CC389,1,DD13,3268,5
CC389,1,DD13,4710,5
CC389,1,DD13,3394,5
CC389,1,DD13,2205,5
CC389,1,DD13,4522,5
CC389,1,DD13,3365,5
CC389,1,DD13,3536,5
CC389,1,DD13,4950,5
CC389,1,DD13,1000,5
CC389,1,DD13,3998,5
CC389,1,DD13,5135,5
CC389,1,DD13,1985,5
CC389,1,DD13,3755,5
CC389,1,DD13,1717,5
CC389,1,DD13,3625,5
CC389,1,DD13,4315,5
CC389,1,DD13,4610,5
CC389,1,DD13,40,5
CC389,1,DD13,3446,5
CC389,1,DD13,3682,5
CC389,1,DD13,3686,5
CC389,1,DD13,3125,5
CC389,1,DD13,4428,5
CC389,1,DD13,3935,5
CC389,1,DD13,4230,5
CC389,1,DD13,2565,5
CC389,1,DD13,1725,5
CC389,1,DD13,4235,5
CC389,1,DD13,2979,5
CC389,1,DD13,4515,5
CC389,1,DD13,3595,5
CC389,1,DD13,2678,5
CC389,1,DD13,2717,5
CC389,1,DD13,2451,5
CC389,1,DD13,2714,5
CC389,1,DD13,2865,5
CC389,1,DD13,4025,5
CC389,1,DD13,2095,5
CC389,1,DD13,2301,5
CC389,1,DD13,4645,5
CC389,1,DD13,2042,5
CC389,1,DD13,2230,5
CC389,1,DD13,3856,5
CC389,1,DD13,1750,5
CC389,1,DD13,3004,5
CC389,1,DD13,2745,5
CC389,1,DD13,3195,5
