category,level,outcome,outcome_level,n,Unnamed: 5
CC390,1,DD13,4000,20,
CC390,1,DD13,2940,5,
CC390,1,DD13,3430,5,
CC390,1,DD13,3500,10,
CC390,1,DD13,3620,5,
CC390,1,DD13,4015,5,
CC390,1,DD13,4305,5,
CC390,1,DD13,3345,5,
CC390,1,DD13,3064,5,
CC390,1,DD13,4040,5,
CC390,1,DD13,2680,5,
CC390,1,DD13,3228,5,
CC390,1,DD13,3155,5,
CC390,1,DD13,2320,5,
CC390,1,DD13,3435,5,
CC390,1,DD13,3172,5,
CC390,1,DD13,2974,5,
CC390,1,DD13,3845,5,
CC390,1,DD13,3604,5,
CC390,1,DD13,4640,5,
CC390,1,DD13,2450,5,
CC390,1,DD13,3308,5,
CC390,1,DD13,3316,5,
CC390,1,DD13,5190,5,
CC390,1,DD13,2920,5,
CC390,1,DD13,2750,5,
CC390,1,DD13,2690,5,
CC390,1,DD13,2629,5,
CC390,1,DD13,3470,10,
CC390,1,DD13,4260,5,
CC390,1,DD13,3610,10,
CC390,1,DD13,4440,5,
CC390,1,DD13,4240,5,
CC390,1,DD13,3765,5,
CC390,1,DD13,3275,5,
CC390,1,DD13,4692,5,
CC390,1,DD13,2754,5,
CC390,1,DD13,3150,5,
CC390,1,DD13,3968,5,
CC390,1,DD13,3260,10,
CC390,1,DD13,3852,5,
CC390,1,DD13,3198,5,
CC390,1,DD13,3546,5,
CC390,1,DD13,2540,5,
CC390,1,DD13,2560,5,
CC390,1,DD13,2847,5,
CC390,1,DD13,2865,5,
CC390,1,DD13,2810,5,
CC390,1,DD13,3560,10,
CC390,1,DD13,4570,5,
CC390,1,DD13,2390,5,
CC390,1,DD13,4130,5,
CC390,1,DD13,1812,5,
CC390,1,DD13,3970,5,
CC390,1,DD13,2840,5,
CC390,1,DD13,3120,5,
CC390,1,DD13,4010,5,
CC390,1,DD13,3390,5,
CC390,1,DD13,4286,5,
CC390,1,DD13,2930,5,
CC390,1,DD13,2590,5,
CC390,1,DD13,4584,5,
CC390,1,DD13,2990,5,
CC390,1,DD13,3080,5,
CC390,1,DD13,2370,5,
CC390,1,DD13,3535,5,
CC390,1,DD13,3074,5,
CC390,1,DD13,1296,5,
CC390,1,DD13,3115,5,
CC390,1,DD13,4365,5,
CC390,1,DD13,4178,5,
CC390,1,DD13,2660,5,
CC390,1,DD13,3196,5,
CC390,1,DD13,4660,5,
CC390,1,DD13,3092,5,
CC390,1,DD13,4232,5,
CC390,1,DD13,3840,10,
CC390,1,DD13,3258,5,
CC390,1,DD13,1485,5,
CC390,1,DD13,3215,5,
CC390,1,DD13,4360,5,
CC390,1,DD13,4588,5,
CC390,1,DD13,2113,5,
CC390,1,DD13,2700,5,
CC390,1,DD13,4510,5,
CC390,1,DD13,2905,5,
CC390,1,DD13,3720,20,
CC390,1,DD13,4180,5,
CC390,1,DD13,2988,5,
CC390,1,DD13,3331,5,
CC390,1,DD13,2895,5,
CC390,1,DD13,2120,5,
CC390,1,DD13,2535,5,
CC390,1,DD13,4075,5,
CC390,1,DD13,3756,5,
CC390,1,DD13,1957,5,
CC390,1,DD13,4095,5,
CC390,1,DD13,4810,5,
CC390,1,DD13,4540,5,
CC390,1,DD13,3656,5,
CC390,1,DD13,4830,5,
CC390,1,DD13,3195,5,
CC390,1,DD13,4400,5,
CC390,1,DD13,4255,5,
CC390,1,DD13,2615,5,
CC390,1,DD13,3025,5,
CC390,1,DD13,2710,5,
CC390,1,DD13,3624,5,
CC390,1,DD13,2790,5,
CC390,1,DD13,2880,5,
CC390,1,DD13,4340,5,
CC390,1,DD13,2528,5,
CC390,1,DD13,4280,5,
CC390,1,DD13,3838,5,
CC390,1,DD13,4151,5,
CC390,1,DD13,4052,5,
CC390,1,DD13,3386,5,
CC390,1,DD13,3865,5,
CC390,1,DD13,2275,5,
CC390,1,DD13,3462,5,
CC390,1,DD13,3930,5,
CC390,1,DD13,2635,5,
CC390,1,DD13,2720,5,
CC390,1,DD13,4625,5,
CC390,1,DD13,1370,5,
CC390,1,DD13,4460,5,
CC390,1,DD13,3254,5,
CC390,1,DD13,3678,5,
CC390,1,DD13,3190,5,
CC390,1,DD13,3605,5,
CC390,1,DD13,2050,5,
CC390,1,DD13,3492,5,
CC390,1,DD13,4580,5,
CC390,1,DD13,3058,5,
CC390,1,DD13,3046,5,
CC390,1,DD13,3420,5,
CC390,1,DD13,4034,5,
CC390,1,DD13,3136,5,
CC390,1,DD13,4878,5,
CC390,1,DD13,3718,5,
CC390,1,DD13,3358,5,
CC390,1,DD13,4060,5,
CC390,1,DD13,2497,5,
CC390,1,DD13,4560,5,
CC390,1,DD13,3055,5,
CC390,1,DD13,3374,5,
CC390,1,DD13,3336,5,
CC390,1,DD13,2685,5,
CC390,1,DD13,3985,5,
CC390,1,DD13,3456,5,
CC390,1,DD13,3505,5,
CC390,1,DD13,3426,5,
CC390,1,DD13,4144,5,
CC390,1,DD13,2759,5,
CC390,1,DD13,3875,5,
CC390,1,DD13,3148,5,
CC390,1,DD13,4398,5,
CC390,1,DD13,3578,5,
CC390,1,DD13,1699,5,
CC390,1,DD13,5050,5,
CC390,1,DD13,3834,5,
CC390,1,DD13,4425,5,
CC390,1,DD13,3396,5,
CC390,1,DD13,3795,5,
CC390,1,DD13,2260,5,
CC390,1,DD13,2610,5,
CC390,1,DD13,3012,5,
CC390,1,DD13,3816,5,
CC390,1,DD13,2490,5,
CC390,1,DD13,3135,5,
CC390,1,DD13,3255,5,
CC390,1,DD13,3226,5,
CC390,1,DD13,3268,5,
CC390,1,DD13,4710,5,
CC390,1,DD13,3394,5,
CC390,1,DD13,3665,5,
CC390,1,DD13,4522,5,
CC390,1,DD13,3365,5,
CC390,1,DD13,3586,5,
CC390,1,DD13,1985,5,
CC390,1,DD13,4315,5,
CC390,1,DD13,4780,5,
CC390,1,DD13,4600,5,
CC390,1,DD13,3446,5,
CC390,1,DD13,3668,5,
CC390,1,DD13,3682,5,
CC390,1,DD13,3686,5,
CC390,1,DD13,2500,5,
CC390,1,DD13,3685,5,
CC390,1,DD13,3885,5,
CC390,1,DD13,3375,5,
CC390,1,DD13,4515,5,
CC390,1,DD13,3595,5,
CC390,1,DD13,2678,5,
CC390,1,DD13,2770,5,
